"id","Response","Theme"
"5957","when visiting a healthcare facility with a life threatening condition I would prefer the empathy of a human doctor to be making decisions.","Medical & Healthcare"
"5958","Medical purposes. If I were in a hospital, I would prefer that an actual doctor helps me instead of an AI. ","Medical & Healthcare"
"5959","a decision to pull the plug on a loved one","Life-or-Death & Moral Dilemmas"
"5960","Judging crimes. There is an aspect of empathy that needs to be taken into account.","Legal & Justice System"
"5961","An AI that would decide on a radical change in relationships with my loved ones or friends. I would take this as an abusive partner. And even if the decision is justified and reasoned, it would be perceived as intrusive in my private sphere.","Personal & Emotional Life"
"5962","A concrete example that makes me uncomfortable is the use of AI models to sort through CVs of people applying for positions in companies. In addition to not being ethical because there is no equal opportunity, the recruitment criteria are no longer ""human resources"" criteria.","Hiring & Employment Decisions"
"5963","medical and security decisions","Medical & Healthcare"
"5964","When he makes decisions about very private things like personal relationships.","Personal & Emotional Life"
"5965","a life changing operation that could be performed in two different way with two different outcomes.  I would not want an AI to decide that.  That is a personsal outcome and would also want the consultation of another human.","Medical & Healthcare"
"5966","Customer care- Some companies will leave all the customer needs to an AI and I think customers should be treated with affection.

Weapons- I think AI should not be trained in any way to be harmful to humans or to be used in wars.","Life-or-Death & Moral Dilemmas"
"5967","Maybe deciding what field to study or what to name your child or pet, haha. I feel like these things have to come from the heart","Personal & Emotional Life"
"5968","There is no understanding of desicion makig process, so I wouldn't deligate healthcare desicions","Medical & Healthcare"
"5969","How should i be living my life or day to day ","Personal & Emotional Life"
"5970","If AI made the decision of when I have to urinate or defecate.","Personal & Emotional Life"
"5971","If you decide that a person needs medical intervention or if a machine serves a client in person or on call","Medical & Healthcare"
"5972","For example, I would like to decide for myself which treatment options are the least likely to be tried for a cancer patient, if any, because in many cases, a contrary decision can be made based on physical findings alone.","Medical & Healthcare"
"5973","Companionship. Emotions. Family. Feeling. Togetherness. Friendship. Courtship. Caring for near and dear ones. 

All of the above are meant for humans since the time we have been civilised and none can take this away from us. If they do we being uneasy is not the correct word for it.","Personal & Emotional Life"
